1340, 38980
804, 39516
0, 40320
210, 40110
370, 39950
0, 40320
598, 39722
0, 40320
0, 40320
0, 40320
193, 40127
136, 40184
0, 40320
512, 39808
158, 40162
1982, 38338
285, 40035
0, 40320
0, 40320
557, 39763
0, 40320
0, 40320
2575, 37745
136, 40184
1602, 38718
1583, 38737
0, 40320
0, 40320
1008, 39312
47, 40273
428, 39892
0, 40320
0, 40320
0, 40320
0, 40320
0, 40320
3918, 36402
0, 40320
70, 40250
0, 40320
3600, 36720
12, 40308
0, 40320
0, 40320
0, 40320
0, 40320
1013, 39307
203, 40117
0, 40320
0, 40320
